priority,slug,title,published,years_old,words,practice_area,why
2,understanding-embezzlement-versus-money-laundering,Understanding embezzlement versus money laundering,2024-02-05,2,433,white-collar-crimes,"thin, recent"
2,facing-federal-drug-conspiracy-charges-in-texas,Facing federal drug conspiracy charges in Texas,2023-05-26,3,451,drug-crimes,3y old
2,what-do-my-rico-charges-mean,What Is A RICO Charge?,2020-12-22,5,451,federal-crimes,5y old
2,these-3-firearms-violations-are-federal-crimes,These 3 firearms violations are federal crimes,2023-01-19,3,453,federal-crimes,3y old
2,things-to-know-if-you-face-accusations-of-business-fraud,Things to know if you face accusations of business fraud,2022-10-23,3,461,white-collar-crimes,3y old
2,understanding-the-different-types-of-fraud,Understanding the different types of fraud,2022-07-22,4,473,white-collar-crimes,4y old
2,defense-options-regarding-use-of-k9-force,Defense options regarding use of K9 force,2023-08-02,3,481,violent-crimes,3y old
2,understanding-texas-embezzlement-charges,Understanding Texas Embezzlement Charges,2022-02-23,4,494,white-collar-crimes,4y old
2,what-happens-to-your-car-insurance-after-a-dwi-c,What Happens to Your Car Insurance Rates After a DWI Conviction in Texas?,2022-03-30,4,556,dwi-defense,4y old
2,how-long-is-a-prison-sentence-for-tax-evasion,How Long Is a Prison Sentence for Tax Evasion?,2021-04-13,5,566,federal-crimes,5y old
2,manslaughter-charges-in-texas,Manslaughter Charges in Texas,2022-05-30,4,589,violent-crimes,4y old
2,can-you-violate-probation-and-not-go-to-jail,Can You Violate Probation and Not Go to Jail?,2021-01-29,5,670,violent-crimes,5y old
2,do-certain-weather-conditions-affect-crime-rates,Do Certain Weather Conditions Affect Crime Rates?,2021-02-23,5,675,violent-crimes,5y old
2,consent-laws-in-texas,Consent Laws in Texas,2022-04-29,4,681,sexual-offenses,4y old
2,what-is-bankruptcy-fraud,What Is Bankruptcy Fraud?,2022-01-30,4,793,violent-crimes,4y old
2,how-to-identify-fake-job-offers,How to Identify Fake Job Offers,2021-05-05,5,824,federal-crimes,5y old
2,is-crime-increasing-in-texas,Is Crime Increasing in Texas?,2021-07-15,5,831,violent-crimes,5y old
2,gun-carrying-without-a-permit-in-texas-and-assau,Gun Carrying Without a Permit in Texas and Assault,2021-09-20,4,858,violent-crimes,4y old
2,is-medical-marijuana-legal-in-texas,Is Medical Marijuana Legal in Texas?,2021-08-05,5,877,drug-crimes,5y old
2,common-motives-in-juvenile-arson-cases,Common Motives in Juvenile Arson Cases,2021-03-09,5,1026,federal-crimes,5y old
2,how-drug-rings-and-sex-trafficking-coincide,How Drug Rings and Sex Trafficking Coincide,2021-06-10,5,1054,drug-crimes,5y old
1,what-constitutes-health-care-fraud-in-texas,What constitutes health care fraud in Texas?,2023-10-30,2,454,white-collar-crimes,recent
